建築名稱,英文名稱,高度(m),樓層,東西寬(m),南北長(m),投影面積(m²),估算總樓地板面積(m²),結構類型,OSM建築類型,NLSC高度,NLSC建物ID,OSM ID
儲存環館(TLS),Taiwan Light Source (TLS),15.6,,140.3,128.1,10042.9,,鋼筋混凝土(RC),industrial,15.60,2C2BG729F2,154209169
BTB+,,15.51,,5.9,7.7,45.4,,鋼筋混凝土(RC),industrial,15.51,2C4CS72LA0,585282247
北大門,North Gate,15.48,,8.0,9.7,30.1,,鋼筋混凝土(RC),hut,15.48,2C9HD72J96,729377567
阿嬤の飯桶,,14.96,,6.8,6.8,22.6,,鋼筋混凝土(RC),yes,14.96,2C6VL72JA9,588300045
第二餐廳,,14.82,3,68.8,36.7,1380.4,4141.0,鋼筋混凝土(RC),university,14.82,2C6GF72J69,549687962
學生七舍,Student Dormitory 7,14.68,3,56.7,48.6,1160.9,3483.0,鋼筋混凝土(RC),dormitory,14.68,2C8QJ72EHK,138949039
,,14.63,,22.4,12.2,202.0,,磚造,house,14.63,2C8JF72KGX,257198650
第三宿舍,,14.56,,38.1,24.0,358.1,,鋼筋混凝土(RC),dormitory,14.56,2CBE872KFU,1230260817
,,14.48,,13.0,14.3,74.8,,鋼筋混凝土(RC),yes,14.48,2CBHE72NDX,1070588296
,,14.26,,18.8,11.5,142.1,,磚造,house,14.26,2C9B572KEE,257198640
第五宿舍,,14.25,,70.8,53.3,1262.1,,鋼筋混凝土(RC),dormitory,14.25,2CCM472L2D,537349265
學生九舍,Student Dormitory 9,14.0,4,65.9,35.0,1062.6,4250.0,,dormitory,,,158364452
,,13.85,,21.5,13.1,257.2,,鋼筋混凝土(RC),yes,13.85,2CA1V72N4T,1119820877
行政大樓,Administration Building,13.82,2,52.3,26.3,1120.1,2240.0,鋼筋混凝土(RC),university,13.82,2C8QK72GPU,135992309
第一綜合大樓: 行政大樓,General Building I: University Administration,13.81,,61.9,50.9,1628.7,,鋼筋混凝土(RC),university,13.81,2C3UC72PXP,180522504
